Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy,Country_copy,Area (sq. mi.),Pop. Density (per sq. mi.)
177,0,2014,46.0,68.3,309.5495,4.22,86,33,22.4,78,86,4.77,1341,15.4,6.3,6.2,6.9,0,1,60.8,Zambia,752614.0,20.462016385557536
54,0,2015,45.2,57.2,434.821,7.49,90,83,26.8,84,90,14.3,3680,1.1,4.0,4.1,6.5,0,1,55.4,Eswatini,6704.3,164.07380337992035
160,0,2000,75.7,119.9,331.9545,1.08,81,64,22.0,63,64,2.97,506,4.92,9.4,9.3,4.0,0,1,53.5,Togo,56785.0,86.64259927797833
47,2,2014,28.8,35.0,163.0145,5.23,89,83,26.3,90,91,0.4,6547,10.17,3.3,3.2,7.8,0,1,73.0,DominicanRepublic,48730.0,208.70100554073466
49,0,2001,35.2,43.9,174.899,0.13,99,64,27.8,99,99,0.13,2652,70.15,3.5,3.4,4.9,0,1,68.8,"Egypt,ArabRep.",1001450.0,70.04842977682361
125,6,2014,41.2,52.4,227.218,1.35,67,65,25.4,43,73,0.4,2565,7.95,1.3,1.3,4.3,0,1,63.2,PapuaNewGuinea,462840.0,17.176562094892404
78,3,2000,6.0,7.1,94.6415,13.84,95,86,26.3,86,86,0.04,41623,3.81,0.3,0.3,10.8,1,0,76.5,Ireland,70280.0,54.21172453044963
18,1,2010,34.1,42.4,227.3425,0.23,91,85,23.3,92,91,0.16,2235,0.69,16.6,17.3,2.3,0,1,68.4,Bhutan,47000.0,14.680851063829786
36,0,2001,72.1,100.2,270.665,0.1,71,64,22.9,70,70,0.02,1188,0.56,7.8,7.8,3.0,0,1,59.5,Comoros,2170.0,258.06451612903226
33,8,2014,6.9,8.1,90.433,7.92,95,88,27.8,95,95,0.19,13367,17.76,0.8,0.8,10.1,0,1,79.5,Chile,756950.0,23.462580091155296
155,4,2006,16.5,19.3,115.127,0.75,83,81,27.4,83,80,0.13,1550,19.06,6.4,6.3,6.2,0,1,74.4,SyrianArabRepublic,185180.0,102.92688195269467
28,1,2009,40.2,47.5,198.62,1.42,92,47,21.5,95,94,0.19,855,14.09,11.1,11.4,3.7,0,1,66.0,Cambodia,181040.0,77.82810428634556
139,7,2004,8.4,9.7,145.094,9.17,89,96,25.5,96,88,0.01,4162,7.46,2.6,2.6,10.0,0,1,72.7,Serbia,88361.0,84.42638720702573
15,3,2002,4.4,5.4,95.81,11.29,60,78,25.6,96,95,0.08,36393,10.33,0.8,0.8,10.3,1,0,78.1,Belgium,30528.0,338.3778825995807
